RPPS,Input1,Output1,Output2,Output3,Ano
ASSIS_SP,1214667.68,98,20865635.47,269086852.43,2022
ATALAIA_AL,651536.08,703,21809689.4,1956170.08,2022
BARRO ALTO_GO,469365.6,207,21927606.97,15643235.56,2022
BEBERIBE_CE,1072402.02,364,27547193.15,61880252.15,2022
BOA VISTA_RR,2782697.92,677,71104799.71000001,883510900.85,2022
BOM DESPACHO_MG,530476.47,527,22873319.7,34151383.16,2022
CAAPORA_PB,832242.78,454,20516200.229999997,7061.12,2022
CAARAPO_MS,536504.03,168,24314343.82,45594792.32,2022
CACADOR_SC,1527481.92,524,22432680.2,146905661.78,2022
CACHOEIRINHA_PE,266289.56,142,22458474.06,25250504.47,2022
CAMACARI_BA,5467770.58,2189,49198176.629999995,372930238.86,2022
CANTAGALO_RJ,787641.51,726,21220643.169999998,19731861.22,2022
CARDOSO MOREIRA_RJ,252884.94,262,31052947.63,104405058.78,2022
CARIRIACU_CE,704234.8,152,24052095.83,26347192.91,2022
CERES_GO,379739.48,225,21507428.93,14828469.26,2022
CERQUEIRA CESAR_SP,559943.3,251,24271789.979999997,55168625.02,2022
CHOPINZINHO_PR,19729.96,93,25049550.65,28531635.56,2022
CONCEICAO DE MACABU_RJ,587699.74,468,26631563.93,61093333.86000001,2022
CRATO_CE,884786.33,662,29765797.43,82720370.35000001,2022
CRUZEIRO DO OESTE_PR,71047.09,318,22054161.459999997,12654265.3,2022
CURITIBANOS_SC,328847.11,482,23462169.299999997,52760758.74,2022
DEMERVAL LOBAO_PI,147044.89,38,21511851.479999997,8242637.78,2022
DOMINGOS MARTINS_ES,437508.06,246,29450590.479999997,76511686.05000001,2022
DUAS BARRAS_RJ,381323.44,256,22660815.279999997,45222943.35,2022
ENTRE-IJUIS_RS,230896.77,175,24261418.709999997,41382646.77,2022
ESCADA_PE,658051.53,825,20810319.889999997,3804440.35,2022
ESPERA FELIZ_MG,441737.08,233,21991459.439999998,16078181.94,2022
ESPERANTINA_PI,775977.06,240,22774917.15,25282332.83,2022
ESPIGAO DO OESTE_RO,880775.42,116,24696964.229999997,77312340.03,2022
EUSEBIO_CE,1990029.84,282,37311760.09,174409558.53,2022
FERNANDOPOLIS_SP,1817447.98,607,25925852.22,130525116.11,2022
FLORIANOPOLIS_SC,4374066.43,3903,20831522.47,9977202.9,2022
FORMOSA_GO,776589.77,51,21453874.81,9667511.07,2022
FOZ DO IGUACU_PR,3831649.8,2837,47402650.55,448702238.03,2022
